imagepath,polygon_1,polygon_2,polygon_3,polygon_4,polygon_5,polygon_6,polygon_7,polygon_8,labelname
FH_barcode_breit_nr_gross\Images\PXL_20230412_122947524.jpg,375.001211143359,920.260684056899,859.148602543071,332.859155198996,130.960185066977,229.272576254846,499.657737193198,397.405651819315,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_122950228.jpg,339.283527336861,830.803527336861,771.639082892416,277.38841622575,248.438638447972,371.318638447972,615.258194003527,486.916860670194,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_122955590.jpg,79.8433095988398,621.529028247607,679.847459392732,188.800430797699,406.708185156272,216.123745916095,475.309307510565,698.280394367826,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123001720.jpg,180.00296663838,909.09096663838,874.042757094067,203.207998079793,216.221842861913,218.95250952858,546.949452066596,552.113084015442,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123008651.jpg,78.6101143799298,530.015108951048,718.431699215833,314.319126323469,565.85002035002,203.539343372677,425.411581768637,825.913512413512,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123334749.jpg,126.315913493509,566.505348830485,452.727571052708,41.4488825281176,74.3678260618152,314.047243183855,515.489866134675,288.866915315003,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123336254.jpg,218.026905661367,854.389340879773,740.553245430146,157.376526938205,252.495330615549,431.555439905167,706.673836990777,562.120102928846,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123338947.jpg,156.359665134047,655.690087259228,707.858937332009,220.452823794891,529.452245285578,428.895780473795,674.700472235933,767.808310024622,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123348191.jpg,96.8084152546401,409.303681095864,498.055319843133,193.763986995354,546.584087438697,361.858137265938,511.57554043015,688.108000877504,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123350381.jpg,323.718292437532,733.012848738799,616.944243220529,219.867434868553,132.613230930171,360.762262226743,549.233201123911,337.871055073241,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123351568.jpg,129.127492600972,609.700259914251,594.858289464746,133.221829276698,421.345749559083,441.313749559083,659.937749559083,648.161749559083,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123355484.jpg,474.751390584724,721.061524894858,621.037104870438,390.355786189119,343.74711708045,531.292904626238,663.200108533442,466.902184235518,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123357478.jpg,168.761589747097,600.52076040507,793.770218105721,379.505576023291,637.176859568448,215.76455026455,423.593067426401,823.690747524081,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123359179.jpg,307.649330345109,904.610029035065,949.326186240306,379.195181873493,384.204018335224,242.680104896417,533.176558797126,659.803218189743,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123402937.jpg,105.294153467878,603.396216442905,760.164946084599,285.803072845771,651.426468593135,308.00929317596,546.956518789852,889.614862733622,FH_barcode_breit_nr_gross
FH_barcode_breit_nr_gross\Images\PXL_20230412_123405080.jpg,187.382301335868,697.056716389878,707.687961857262,209.895527031505,382.114570573133,357.718724513267,613.562340884678,624.196427628722,FH_barcode_breit_nr_gross
