                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.41765,                0.99998,                 3.7826,                 1.0058,                0.19456,                0.41492,                0.22456,                0.21624,                0.19456,                0.41492,                0.22537,                0.21492,                 0.4342,                0.57787,                 3.4617,                 1.1564,                 0.0739,                 0.0029,                 0.0029
                      1,                0.31187,                0.47434,                 2.4231,                0.90147,                0.27216,                 0.5526,                 0.4106,                0.39485,                0.26853,                 0.5425,                0.40847,                0.40107,                0.36062,                0.44462,                 3.3206,                 1.0784,               0.046842,              0.0058416,              0.0058416
                      2,                0.36141,                0.42874,                 1.8588,                0.87123,                0.56704,                0.54503,                0.52193,                0.49957,                0.56704,                0.54503,                0.52057,                0.50522,                0.50994,                 1.1758,                 2.2163,                  1.299,               0.019724,              0.0087238,              0.0087238
                      3,                 0.4109,                0.73288,                  1.692,                0.90511,                0.44859,                0.46822,                0.37231,                0.32156,                0.44096,                0.45014,                0.36977,                0.31814,                0.73371,                 2.5154,                 6.0484,                  1.508,               0.009703,               0.009703,               0.009703
                      4,                0.41769,                 0.4313,                 1.3974,                0.90485,                0.55082,                0.39776,                0.38893,                0.34852,                0.56145,                0.37176,                0.37938,                0.30809,                0.71422,                 2.3447,                 2.7799,                 1.5071,               0.009703,               0.009703,               0.009703
                      5,                0.42431,                0.55327,                 1.2753,                0.90323,                0.58575,                0.46203,                0.44978,                0.39538,                0.57953,                 0.4573,                0.44545,                0.38733,                0.70963,                 1.6926,                 2.6568,                 1.8288,               0.009604,               0.009604,               0.009604
                      6,                0.40573,                0.48486,                 1.2363,                0.91689,                0.68732,                0.63367,                0.64991,                0.60259,                0.68732,                0.63367,                0.64724,                0.59527,                0.72792,                 1.5321,                 2.0843,                 1.6485,               0.009505,               0.009505,               0.009505
                      7,                0.40785,                0.45907,                 1.1204,                0.91775,                 0.7966,                0.64317,                0.71404,                0.67764,                 0.7966,                0.64317,                0.71342,                 0.6892,                0.61689,                 1.2015,                 1.5932,                  1.219,               0.009406,               0.009406,               0.009406
                      8,                0.40569,                 0.3597,                 1.0158,                0.91772,                0.76492,                0.68386,                0.71976,                0.67944,                0.76492,                0.68386,                0.71976,                0.68299,                0.59915,                0.71936,                 1.4233,                 1.1827,               0.009307,               0.009307,               0.009307
                      9,                0.42429,                0.52417,                 1.0341,                0.92309,                0.81852,                0.65694,                0.73073,                0.67217,                0.81852,                0.65694,                0.73073,                0.69541,                0.64347,                0.69193,                  1.406,                 1.4075,               0.009208,               0.009208,               0.009208
                     10,                0.43141,                0.46198,                 1.1455,                0.90849,                0.70532,                0.72617,                0.76085,                0.72271,                0.70532,                0.72617,                0.76032,                0.73655,                0.39849,                0.41536,                 1.5943,                 1.0047,               0.009109,               0.009109,               0.009109
                     11,                0.42828,                0.39206,                 1.0031,                0.91286,                0.83649,                0.71997,                 0.7748,                0.70128,                0.83649,                0.71997,                0.77215,                0.75205,                0.46868,                0.47469,                 1.2185,                0.93527,                0.00901,                0.00901,                0.00901
                     12,                0.41898,                0.42732,                0.93844,                0.91557,                0.88555,                0.68679,                0.77901,                0.72051,                0.88555,                0.68679,                0.76693,                0.72277,                0.66039,                0.67398,                 1.2209,                 1.5701,               0.008911,               0.008911,               0.008911
                     13,                0.40557,                0.36939,                0.85851,                0.91258,                 0.8936,                0.68339,                0.77146,                0.73399,                 0.8936,                0.68339,                0.77167,                0.73161,                0.42296,                0.48849,                 1.4144,                0.94234,               0.008812,               0.008812,               0.008812
                     14,                 0.3985,                0.30254,                0.84497,                0.90426,                0.85091,                0.69676,                0.74996,                  0.705,                0.85091,                0.69676,                0.74636,                0.70979,                0.41875,                0.45558,                 1.5239,                0.94558,               0.008713,               0.008713,               0.008713
                     15,                0.38142,                0.32103,                0.86852,                0.90825,                0.85192,                0.71866,                0.77816,                0.74887,                0.85192,                0.71866,                0.77724,                0.74766,                0.34835,                0.41148,                 1.2487,                 0.9721,               0.008614,               0.008614,               0.008614
                     16,                0.41328,                 0.3491,                0.79048,                   0.91,                0.90406,                0.75072,                0.81708,                0.75369,                0.90406,                0.75072,                 0.8151,                0.77095,                0.57444,                 1.0157,                 1.0589,                 1.6152,               0.008515,               0.008515,               0.008515
                     17,                 0.3673,                0.37162,                0.85255,                0.89591,                0.87341,                0.69838,                0.76678,                 0.7426,                0.87341,                0.69838,                0.76678,                0.74279,                0.58475,                0.58524,                  1.277,                 1.5362,               0.008416,               0.008416,               0.008416
                     18,                0.38903,                0.33481,                0.76415,                0.90185,                0.84677,                 0.7203,                0.77492,                0.75187,                0.83807,                0.71051,                0.76691,                0.75819,                0.36762,                 0.7375,                 1.4793,                0.97323,               0.008317,               0.008317,               0.008317
                     19,                0.37042,                0.36705,                0.73496,                0.89197,                0.96539,                0.76824,                 0.8196,                0.79251,                0.96539,                0.76824,                 0.8196,                0.80041,                0.33527,                0.43972,                 1.0093,                0.86358,               0.008218,               0.008218,               0.008218
                     20,                0.36502,                0.32582,                0.74085,                0.89517,                0.93434,                0.77681,                0.81718,                 0.7947,                0.93434,                0.77681,                0.81718,                0.79534,                0.31711,                0.42075,                 1.0652,                0.86021,               0.008119,               0.008119,               0.008119
                     21,                0.36777,                0.46416,                0.71604,                0.89691,                0.92166,                0.77377,                0.82478,                0.79835,                0.92166,                0.77377,                0.82478,                 0.8004,                0.31231,                0.49988,                 1.0134,                0.95341,                0.00802,                0.00802,                0.00802
                     22,                0.37213,                0.32348,                0.72224,                0.89401,                0.82479,                0.72224,                0.79887,                0.77939,                0.82479,                0.72224,                0.79887,                0.79129,                0.31965,                0.33953,                0.80037,                0.92389,               0.007921,               0.007921,               0.007921
                     23,                0.36459,                0.29388,                0.68438,                0.89494,                0.91943,                0.71695,                0.81618,                 0.7929,                0.91943,                0.71695,                0.81618,                0.78382,                0.29099,                0.42623,                 1.1061,                0.84926,               0.007822,               0.007822,               0.007822
                     24,                0.34593,                0.31462,                0.66685,                0.89028,                0.91631,                0.74691,                0.83777,                0.80802,                0.89777,                0.73179,                0.81624,                0.77385,                 0.3635,                0.64763,                0.93432,                0.96249,               0.007723,               0.007723,               0.007723
                     25,                0.33886,                 0.3158,                0.65717,                0.88884,                0.88093,                0.72948,                0.80357,                0.75988,                0.88093,                0.72948,                0.80407,                0.75907,                 0.4183,                0.54493,                0.81922,                  1.064,               0.007624,               0.007624,               0.007624
                     26,                0.34828,                0.33657,                0.68922,                0.89726,                0.94846,                 0.7373,                0.92998,                0.90594,                0.94846,                 0.7373,                0.92998,                0.90481,                0.62616,                0.38528,                0.77732,                  1.384,               0.007525,               0.007525,               0.007525
                     27,                0.34206,                0.34398,                0.64053,                0.88787,                0.84618,                0.68009,                0.77555,                0.74077,                0.84618,                0.68009,                0.77555,                0.74046,                0.57273,                0.54021,                 1.0315,                 1.2865,               0.007426,               0.007426,               0.007426
                     28,                0.34338,                0.30185,                0.61757,                0.87576,                0.86544,                0.75995,                0.80429,                0.77654,                0.86544,                0.75995,                0.80429,                0.78102,                0.42689,                0.48029,                0.71308,                 1.1031,               0.007327,               0.007327,               0.007327
                     29,                0.31909,                0.29016,                0.62617,                0.88112,                0.82801,                0.72663,                0.79328,                 0.7623,                0.82801,                0.72663,                0.79328,                0.75306,                0.57932,                0.90012,                  1.235,                 1.2483,               0.007228,               0.007228,               0.007228
                     30,                0.34681,                 0.2649,                0.57148,                0.88941,                0.94051,                0.80462,                0.85428,                0.83267,                0.94051,                0.80462,                0.85428,                0.83694,                0.40866,                0.31262,                0.52076,                  1.129,               0.007129,               0.007129,               0.007129
                     31,                0.32431,                0.31385,                0.58144,                0.88403,                0.90958,                0.79699,                0.84999,                0.82471,                0.90958,                0.79699,                0.84999,                 0.8294,                0.33665,                0.50891,                0.87758,                0.89269,                0.00703,                0.00703,                0.00703
                     32,                0.33759,                0.27509,                0.68486,                0.88962,                0.91765,                0.76578,                 0.8173,                0.78988,                0.91765,                0.76578,                 0.8173,                0.79251,                0.27679,                0.35489,                 1.3658,                0.84388,               0.006931,               0.006931,               0.006931
                     33,                0.34017,                0.28363,                0.65917,                0.88975,                0.91475,                0.77511,                0.87136,                0.85017,                0.91475,                0.77511,                0.87136,                0.84641,                0.25507,                0.29447,                 1.3953,                0.81663,               0.006832,               0.006832,               0.006832
                     34,                0.32873,                0.28863,                0.56249,                0.87649,                0.95167,                0.76898,                0.83005,                0.80332,                0.95167,                0.76898,                0.82592,                0.80732,                0.32214,                0.43349,                 1.0368,                0.88567,               0.006733,               0.006733,               0.006733
                     35,                0.34782,                0.39332,                0.58822,                 0.8837,                0.95404,                0.81926,                0.88165,                0.86183,                0.95404,                0.81926,                0.88165,                0.86462,                0.27221,                 0.2954,                0.69638,                0.83112,               0.006634,               0.006634,               0.006634
                     36,                0.33534,                0.34331,                0.57479,                 0.8793,                0.92811,                 0.8248,                0.84863,                0.81775,                0.92811,                 0.8248,                0.84863,                0.82191,                0.27197,                0.35237,                 0.6702,                0.82778,               0.006535,               0.006535,               0.006535
